,0,1,2,3,4,5,6,7,8,9
0,1029558.9211496502,-8853.624433773855,155843.33983570535,-26088.88092315771,-8205.866768982012,-5172.558111395505,26717.232269286687,-6130.149420332492,-5983.774416196464,14567.06082164332
1,1018682.687804245,-7764.3086346355885,107075.4621832994,-16965.17823052235,-20161.688589885372,-5599.041853955743,14649.068465320512,-5453.881993403715,-17850.152967459326,2399.0845619343095
2,1011086.2697262696,-10140.01785939207,-90019.189507405,18743.189655740294,-42440.94240817851,-3970.3604289123714,6284.936449925035,1460.7805192505202,-7680.10241731279,2422.473317158792
3,1015604.5959341904,-6839.306105159327,-52088.31464306438,37671.130051385226,-24895.371451615287,-8332.155092970559,22980.4842073719,-2015.1017979081741,-6692.424376805627,7003.385074976614
4,1015451.6111963645,-3836.715423979597,131624.11640504567,-861.6170256494016,-14569.649008898132,-7481.202680055646,8530.456964365794,-3817.5426286929383,-19403.28155758098,2630.4846065388606
5,1021652.8598174783,-12203.564195684261,110129.62853332642,-46377.80752247423,-27635.117288265155,1510.4264667747766,17521.64347451277,-4177.454614192777,-11946.781822436402,1017.5410582548118
6,1042841.6387036863,-1487.1000536889146,289053.3369478684,-10790.264118722711,-18012.361492523967,-7673.384729014227,-15942.33258700471,-6535.008970497961,-19494.029203979764,17766.958512200497
7,1040664.5166736628,-896.2814179694784,327601.9773621705,-25362.856951033835,-27954.883576965556,712.265333996151,5391.197540880847,-9423.374985279439,-25106.243879861984,-9387.491493061636
8,1041381.4319736846,-15139.988584450373,342744.0636235383,-117261.9172775515,-6732.802580662383,2405.9071232537817,-9448.204367864204,-6024.564404930223,-19448.84393354287,-1344.4837406738507
9,1027968.7317092197,-10462.709651540636,50823.72928556902,672.891854852739,3136.4534715853515,-11123.160879139772,-16154.102601006913,2253.1547995210863,4504.508119831552,1041.1724205031117
10,1015004.8744173697,-11294.767203046535,-83763.67985873256,28611.900378897673,7281.659623003498,-19359.33652046047,-13599.90595256774,554.4174908223353,-5531.60056193955,-257.8491141250328
11,1016139.5668035282,-10650.744353462242,-83399.83045937285,27091.285448513838,-14677.703417197483,-12321.149214839896,-4974.381364379628,1272.5666725114932,-4494.6985889386015,260.87065339462833
12,1016402.8756412704,-11662.685291678208,-51197.1790606218,14465.760516413044,-1429.013220513869,-14186.944033165215,-17622.392221543683,4518.0433892601795,2031.3006127270432,-1258.3377906313085
13,1018572.2489779396,-12153.74446772735,-98888.91341289575,29379.029432753985,-512.776388319736,-16888.85080264853,-5750.933029598189,1101.2492288482194,-9637.035837401516,1757.7969653184716
14,1021305.4506648391,-13501.570745775596,65549.00380931505,-35764.617977986294,-12049.606447895983,-4073.0901435884534,-15644.656591451992,3945.9749555877916,5016.495218856762,-1080.6238735252703
15,1002116.8658759206,-9718.5398916148,-93975.31395757201,33591.08803440089,22600.43614702329,1652.6060663448038,-3788.383771374424,6321.822708439106,-14708.332995305926,523.4317353762227
16,1010630.0774678757,-4477.183312178386,-40793.84665539877,64748.808004570084,38295.288260375266,-14799.743000762357,-18749.700089066228,10400.147298976488,-12403.133785655846,1196.4771040274188
