1,5753917.804445408
2,5754105.137972611
3,5754561.911941395
4,5755660.021257255
5,5756008.324190608
6,5755040.546587507
7,5754091.960826869
8,5752075.548726412
9,5753455.0641573705
10,5755154.079011778
11,5756209.824552744
12,5757499.256458715
13,5753146.574019063
14,5751815.485030531
15,5756406.443391884
16,5750569.257324529
17,5754592.757690929
18,5757935.62995883
19,5757930.59421074
20,5759657.196820932
21,5758786.01992978
22,5760123.00799294
23,5759420.381066113
24,5761339.210121811
25,5758047.692120256
26,5756764.268020545
27,5758385.157518148
28,5756353.443633742
29,5755912.528564813
30,5759477.100428985
31,5756516.273742568
32,5751960.756761116
33,5753665.496418034
34,5750171.804020745
35,5761526.3930912465
36,5759661.432000715
37,5761806.333912971
38,5764059.486255576
39,5763082.870802361
40,5760879.516358416
41,5758614.609360491
42,5761180.2794873575
43,5758284.127855236
44,5760528.038335855
45,5752078.637833756
