,0
0,
1,9778.420856431734
2,7335.365563349706
3,8518.844724274726
4,5539.306607171426
5,7014.09125010985
6,3638.27049326372
7,3741.001219000632
8,11301.748360754998
9,14190.590201983818
10,3558.8210807661444
11,6031.103723002434
12,5999.9026058369345
13,2328.556127414172
14,6602.466533402028
15,3901.3533622079585
16,6427.075199845377
17,6086.610611891239
18,9107.376543915965
19,8104.399004288636
20,4765.520035433782
21,10357.48657668424
22,2174.8965667817583
23,6267.78932926622
24,303.19012740390946
25,8661.03293024839
26,5742.40246048483
27,14764.3803091455
28,7209.402605196698
29,8939.030694128602
30,1539.171917273224
31,976.8587891148271
32,8416.814440974695
33,4349.78220202427
34,2978.222175456191
35,10330.510406242425
36,4657.303616725193
37,4411.1115306513875
38,3362.1806777554366
39,4082.688172302948
40,2666.780981268286
41,9028.194148259214
42,8763.97069046581
43,4945.885441300561
44,11327.241286264523
45,4878.973292181299
46,7220.594991755281
47,10319.125296688351
48,10362.008839598622
49,1573.682596662114
50,10014.995083201264
51,11995.173412229526
52,4683.717749810162
53,9547.252932941046
54,10158.153358903854
55,4917.630426797839
56,10028.497327397368
57,6685.390646089995
58,7485.97539995798
59,8788.984632108066
60,14811.787273555101
61,8988.949769485975
62,7503.413627927359
63,8083.338097839132
64,8947.747683037678
65,5651.944552758173
66,13090.728926870177
67,10695.803801426633
68,5074.8666334487725
69,7122.72156912762
70,5848.361011038624
71,8387.596581602851
72,3422.787037593291
73,11123.963161847167
74,4621.63414350771
75,3356.2223682875924
76,7324.688211522894
77,10904.06581153615
78,8408.783824318098
79,13745.581962436523
80,5197.5448735094
81,15019.705921247569
82,10711.954368813425
83,12015.606951237725
84,13780.718738393727
85,3994.3795390529444
